tprate,return_period,unseen_id
10.527,1200.000,init_12-member_09-date_2013-05
7.222,600.000,init_12-member_19-date_2000-05
6.862,400.000,init_02-member_11-date_1993-05
6.660,300.000,init_02-member_06-date_1993-05
6.557,240.000,init_02-member_11-date_1995-05
6.319,200.000,init_12-member_06-date_2006-05
6.012,171.429,init_12-member_16-date_1996-05
5.832,150.000,init_02-member_11-date_2005-05
5.784,133.333,init_12-member_22-date_1997-05
5.766,120.000,init_12-member_00-date_2008-05
5.656,109.091,init_02-member_17-date_1997-05
5.648,100.000,init_02-member_13-date_2006-05
5.647,92.308,init_02-member_15-date_2004-05
5.631,85.714,init_12-member_01-date_1996-05
5.576,80.000,init_02-member_11-date_2007-05
5.567,75.000,init_12-member_22-date_2000-05
5.464,70.588,init_12-member_18-date_2002-05
5.414,66.667,init_12-member_07-date_2002-05
5.361,63.158,init_12-member_16-date_1994-05
5.353,60.000,init_12-member_09-date_2012-05
5.325,57.143,init_02-member_08-date_2012-05
5.307,54.545,init_02-member_24-date_2004-05
5.260,52.174,init_02-member_16-date_1995-05
5.213,50.000,init_12-member_11-date_2010-05
5.127,48.000,init_12-member_21-date_2017-05
5.084,46.154,init_12-member_02-date_2012-05
5.073,44.444,init_02-member_15-date_2015-05
4.936,42.857,init_02-member_00-date_2015-05
4.895,41.379,init_12-member_05-date_2012-05
4.895,40.000,init_02-member_09-date_1996-05
4.867,38.710,init_12-member_05-date_2017-05
4.861,37.500,init_12-member_04-date_2006-05
4.836,36.364,init_02-member_18-date_1999-05
4.829,35.294,init_02-member_20-date_1993-05
4.795,34.286,init_02-member_07-date_1997-05
4.765,33.333,init_12-member_01-date_2002-05
4.756,32.432,init_02-member_20-date_2001-05
4.754,31.579,init_12-member_23-date_1997-05
4.737,30.769,init_12-member_09-date_2004-05
4.718,30.000,init_12-member_24-date_2010-05
4.709,29.268,init_02-member_24-date_1994-05
4.706,28.571,init_02-member_01-date_2010-05
4.614,27.907,init_12-member_04-date_2011-05
4.602,27.273,init_12-member_15-date_1994-05
4.598,26.667,init_12-member_08-date_2012-05
4.578,26.087,init_12-member_10-date_1994-05
4.571,25.532,init_02-member_20-date_2000-05
4.561,25.000,init_12-member_07-date_2009-05
4.547,24.490,init_02-member_06-date_2003-05
4.540,24.000,init_02-member_05-date_2006-05
4.540,23.529,init_02-member_02-date_1999-05
4.510,23.077,init_12-member_20-date_2014-05
4.485,22.642,init_02-member_03-date_2012-05
4.476,22.222,init_02-member_21-date_1993-05
4.468,21.818,init_12-member_11-date_2012-05
4.453,21.429,init_12-member_03-date_2011-05
4.445,21.053,init_12-member_09-date_2007-05
4.441,20.690,init_02-member_03-date_2011-05
4.437,20.339,init_02-member_12-date_1995-05
4.415,20.000,init_12-member_03-date_2001-05
4.409,19.672,init_12-member_23-date_2007-05
4.390,19.355,init_12-member_22-date_2017-05
4.380,19.048,init_12-member_17-date_2013-05
4.380,18.750,init_12-member_17-date_1996-05
4.372,18.462,init_12-member_15-date_2009-05
4.370,18.182,init_02-member_01-date_1996-05
4.350,17.910,init_02-member_07-date_2005-05
4.346,17.647,init_02-member_01-date_1997-05
4.275,17.391,init_02-member_14-date_2008-05
4.261,17.143,init_02-member_14-date_2001-05
4.228,16.901,init_12-member_14-date_1996-05
4.224,16.667,init_12-member_12-date_1999-05
4.220,16.438,init_12-member_18-date_2016-05
4.216,16.216,init_02-member_15-date_2008-05
4.187,16.000,init_12-member_17-date_2015-05
4.185,15.789,init_02-member_13-date_2000-05
4.172,15.584,init_02-member_12-date_2001-05
4.144,15.385,init_12-member_01-date_2008-05
4.138,15.190,init_02-member_09-date_2007-05
4.110,15.000,init_02-member_09-date_2009-05
4.108,14.815,init_12-member_13-date_2012-05
4.106,14.634,init_12-member_02-date_1994-05
4.098,14.458,init_02-member_23-date_2003-05
4.097,14.286,init_02-member_09-date_2004-05
4.086,14.118,init_02-member_20-date_2015-05
4.079,13.953,init_12-member_24-date_2012-05
4.078,13.793,init_02-member_24-date_2001-05
4.065,13.636,init_12-member_09-date_2006-05
4.037,13.483,init_02-member_03-date_2000-05
4.026,13.333,init_12-member_19-date_2017-05
4.020,13.187,init_02-member_11-date_2002-05
4.004,13.043,init_02-member_21-date_2002-05
4.000,12.903,init_02-member_05-date_1996-05
3.994,12.766,init_02-member_08-date_1996-05
3.986,12.632,init_02-member_23-date_2009-05
3.982,12.500,init_02-member_15-date_1996-05
3.979,12.371,init_02-member_08-date_1999-05
3.966,12.245,init_02-member_18-date_2006-05
3.953,12.121,init_02-member_22-date_1995-05
3.953,12.121,init_02-member_07-date_1996-05
9.315,1800.000,init_02-member_10-date_2000-06
8.819,900.000,init_02-member_20-date_1996-06
8.807,600.000,init_02-member_00-date_1997-06
8.264,450.000,init_03-member_00-date_2013-06
8.100,360.000,init_03-member_13-date_2010-06
8.000,300.000,init_02-member_07-date_2010-06
7.973,257.143,init_03-member_22-date_2010-06
7.964,225.000,init_03-member_20-date_2010-06
7.959,200.000,init_02-member_18-date_1998-06
7.910,180.000,init_02-member_05-date_1997-06
7.907,163.636,init_03-member_07-date_2006-06
7.852,150.000,init_01-member_02-date_2011-06
7.844,138.462,init_02-member_08-date_2001-06
7.713,128.571,init_03-member_16-date_2004-06
7.566,120.000,init_03-member_06-date_1999-06
7.562,112.500,init_03-member_06-date_2000-06
7.561,105.882,init_03-member_18-date_2016-06
7.557,100.000,init_03-member_18-date_1998-06
7.505,94.737,init_02-member_06-date_2014-06
7.504,90.000,init_02-member_06-date_2005-06
7.475,85.714,init_03-member_18-date_2007-06
7.443,81.818,init_01-member_10-date_2015-06
7.425,78.261,init_02-member_10-date_1997-06
7.397,75.000,init_02-member_13-date_1997-06
7.357,72.000,init_03-member_08-date_2014-06
7.302,69.231,init_03-member_09-date_1999-06
7.265,66.667,init_02-member_02-date_2000-06
7.259,64.286,init_01-member_00-date_2005-06
7.242,62.069,init_03-member_19-date_1998-06
7.240,60.000,init_03-member_04-date_1997-06
7.233,58.065,init_02-member_22-date_1997-06
7.218,56.250,init_03-member_14-date_2008-06
7.214,54.545,init_01-member_21-date_2011-06
7.184,52.941,init_01-member_20-date_1995-06
7.137,51.429,init_01-member_21-date_1999-06
7.137,50.000,init_03-member_03-date_1996-06
7.076,48.649,init_03-member_12-date_2015-06
7.010,47.368,init_03-member_08-date_1994-06
7.009,46.154,init_02-member_04-date_2013-06
6.980,45.000,init_03-member_01-date_2002-06
6.943,43.902,init_03-member_21-date_2013-06
