tprate,return_period,unseen_id
12.256,2400.000,init_12-member_09-date_2013-05
11.768,1200.000,init_02-member_11-date_1993-05
11.145,800.000,init_12-member_11-date_2007-05
10.400,600.000,init_12-member_01-date_1995-05
9.886,480.000,init_12-member_11-date_1997-05
9.664,400.000,init_12-member_04-date_2000-05
9.635,342.857,init_02-member_03-date_2000-05
9.624,300.000,init_03-member_03-date_2000-05
9.285,266.667,init_03-member_09-date_1995-05
9.208,240.000,init_12-member_01-date_1994-05
9.204,218.182,init_01-member_16-date_2008-05
9.105,200.000,init_01-member_16-date_2012-05
9.093,184.615,init_02-member_13-date_2011-05
9.023,171.429,init_01-member_22-date_2001-05
8.993,160.000,init_12-member_13-date_2002-05
8.931,150.000,init_03-member_08-date_2013-05
8.884,141.176,init_02-member_09-date_2003-05
8.879,133.333,init_01-member_15-date_1995-05
8.780,126.316,init_02-member_12-date_1996-05
8.775,120.000,init_12-member_05-date_2017-05
8.720,114.286,init_01-member_20-date_1999-05
8.709,109.091,init_03-member_04-date_1996-05
8.697,104.348,init_12-member_19-date_2010-05
8.629,100.000,init_02-member_15-date_2015-05
8.583,96.000,init_03-member_18-date_2007-05
8.545,92.308,init_12-member_16-date_1995-05
8.492,88.889,init_12-member_04-date_2016-05
8.489,85.714,init_02-member_17-date_2014-05
8.488,82.759,init_02-member_07-date_1997-05
8.406,80.000,init_01-member_21-date_2013-05
8.325,77.419,init_01-member_03-date_2005-05
8.301,75.000,init_03-member_09-date_1997-05
8.268,72.727,init_01-member_06-date_1999-05
8.254,70.588,init_12-member_20-date_1997-05
8.234,68.571,init_01-member_21-date_1994-05
8.219,66.667,init_01-member_14-date_2016-05
8.209,64.865,init_02-member_08-date_2012-05
8.188,63.158,init_03-member_24-date_1994-05
8.179,61.538,init_01-member_09-date_1995-05
8.127,60.000,init_03-member_23-date_2003-05
8.126,58.537,init_12-member_10-date_2011-05
8.066,57.143,init_03-member_16-date_2001-05
8.065,55.814,init_01-member_08-date_2006-05
8.055,54.545,init_01-member_24-date_2002-05
8.050,53.333,init_01-member_22-date_2012-05
8.042,52.174,init_12-member_21-date_2016-05
8.028,51.064,init_02-member_11-date_2003-05
8.019,50.000,init_02-member_24-date_1994-05
8.009,48.980,init_01-member_00-date_1994-05
7.995,48.000,init_03-member_09-date_2003-05
7.990,47.059,init_03-member_18-date_1998-05
7.981,46.154,init_12-member_14-date_2012-05
